都道府県コード又は市区町村コード,No,都道府県名,市区町村名,名称,住所,経度,緯度,車椅子使用者トイレ有無,乳幼児用設備設置トイレ有無,オストメイトトイレ設置トイレ有無,利用開始時間,利用終了時間,利用可能時間特記事項,施設種類
"132,098",188,東京都,町田市,町田市立総合体育館,町田市南成瀬5-12,139.479313,35.5359569,有,有,有,9:00,21:00,第1・第3月曜日（月曜日が祝日の場合はその翌日）休み。1箇所障害者用トイレに乳幼児設備（ベビーチェア）有り,公共施設トイレ
"132,098",189,東京都,町田市,成瀬クリーンセンターテニスコート,町田市南成瀬8-1-1,139.4848802,35.53529928,無,,無,9:00,21:00,クラブハウス内,公共施設トイレ
"132,098",190,東京都,町田市,松葉公園,町田市高ヶ坂7-1043,139.4654651,35.53766286,無,有,無,0:00,23:59,,公共施設トイレ
"132,098",191,東京都,町田市,つくし野コミュニティセンター,町田市つくし野2-26-5,139.4846571,35.52709328,有,有,有,8:30,22:00,第3水曜日休み。ベビーシート有車椅子用トイレは1Fのみの設置。,公共施設トイレ
"132,098",192,東京都,町田市,つくし野セントラルパーク,町田市つくし野3-19,139.4824472,35.5204266,有,有,無,6:00,19:00,,公共施設トイレ
"132,098",193,東京都,町田市,松葉谷戸公園,町田市金森東1-1076-2,139.4642483,35.5359676,有,有,無,8:00,17:30,,公共施設トイレ
"132,098",194,東京都,町田市,金森図書館,町田市金森東3-5-1,139.4659348,35.53345412,有,無,無,,,火・水・金 10:00～18:00　木・土・日・祝 10:00～'17:00　月曜日・第2木曜日休み。,公共施設トイレ
"132,098",195,東京都,町田市,南市民センター,町田市金森4-5-6,139.4666749,35.52385977,有,,有,8:30,22:00,年末年始（12/29～1/3）休み,公共施設トイレ
"132,098",197,東京都,町田市,成瀬クリーンセンター,町田市南成瀬8-1-1,139.483665,35.53515186,有,有,有,8:30,17:00,土、日、祝日年末年始休み。ベビーチェア、多目的シート,公共施設トイレ
"132,098",199,東京都,町田市,玉川学園駅前連絡所,町田市玉川学園2-18-35,139.4627289,35.56373092,有,有,有,8:30,17:00,土・日・祝日とその振替休日・年末年始休み。屋外設置／ベビーチェア設置／常時施錠状態のため利用時は職員への申出が必要,公共施設トイレ
"132,098",200,東京都,町田市,緑ヶ丘グラウンド,町田市本町田2380-6,139.4365583,35.56409302,有,,有,9:00,17:00,,公共施設トイレ
"132,098",201,東京都,町田市,芹ヶ谷公園（虹と水の広場）,町田市原町田5-16,139.4550658,35.54544614,有,有,有,8:30,17:30,,公共施設トイレ
"132,098",202,東京都,町田市,芹ヶ谷公園（芹ヶ谷グラウンド）,町田市原町田5-16,139.4528191,35.54637398,有,有,有,,,6:00～18:00　6月～8月6：00～19：00,公共施設トイレ
"132,098",203,東京都,町田市,鶴間公園,町田市鶴間3-1-1,139.4661973,35.51087305,有,有,有,8:00,18:30,ベビーシート、ベビーチェア、多目的シート,公共施設トイレ
"132,098",204,東京都,町田市,鶴間公園クラブハウス,町田市鶴間2-5-13,139.4661278,35.50947826,有,有,有,8:00,21:00,ベビーチェア、多目的シート,公共施設トイレ
"132,098",205,東京都,町田市,薬師池公園西園（ウェルカムゲート・インフォメーション）,町田市本町田3105,139.4465087,35.57473776,有,有,有,10:00,17:00,ベビーシート、ベビーチェア、多目的シート,公共施設トイレ
"132,098",206,東京都,町田市,薬師池公園西園（ウェルカムゲート・ラウンジ）,町田市本町田3105,139.4466059,35.57476788,有,有,有,9:00,17:00,ベビーシート、ベビーチェア,公共施設トイレ
"132,098",,東京都,町田市,三輪子どもクラブ,東京都町田市三輪緑山3-25-2,139.4886551,35.57380757,有,有,有,0.416666667,0.75,定休日：日曜日・祝日,公共施設トイレ
"132,098",,東京都,町田市,上小山田コミュニティセンター,東京都町田市上小山田町2616-2,139.3983522,35.59484071,有,有,無,0.375,0.916666667,定休日：第３月曜日・年末年始、貸出施設利用者がいない場合は使用不可,公共施設トイレ
"132,098",,東京都,町田市,室内プール（健康増進温浴施設分）,東京都町田市図師町199-1,139.4138148,35.58630765,有,有,有,,,定休日：第1・第3月曜日（月曜日が祝日の場合はその翌日）※但し7月21日から8月31日までは無休※2022年4月1日供用開始,公共施設トイレ
"132,098",,東京都,町田市,相原中央公園（芝生広場）,東京都町田市相原町2018,139.3196646,35.60933497,有,有,有,6:00,21:00,ベビーチェア、多目的シート,公共施設トイレ
"132,098",,東京都,町田市,春日神社,東京都町田市大蔵町2822,139.4593878,35.58582606,有,無,無,0；00,24:00:00,,トイレ開放協力寺社
